ocn1	canonical_name	wikipedia_name	person	people_raw	wikipedia_article	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
B.CaK.Cls.Ng3.Bg6.Nh3	Caro-Kann Classical, Flohr Variation	Flohr Variation of the [[Caro	Salo Flohr	Salo Flohr	Salo Flohr	1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3	e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1h3	oxford-companion	attested		{{sfn|Hooper|Whyld|1992|p=469}} -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Gru.Thr.Qa4	Grünfeld Three Knights, Qa4+	Flohr Variation of the Grünfeld Defence	Salo Flohr	Salo Flohr	Salo Flohr	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qa4+	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1a4	web	attested		<ref>{{cite web|url=http://www.chessarch.com/library/0000_eco/d70_d99.shtml|title=D70-D99: Grünfeld: Three Knights (Flohr Attack)|publisher=Chess Archaeology|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Vie.Fal.MLn	Vienna Falkbeer, Main Line	[[Vienna Game, Frankenstein	Frankenstein's monster; Count Dracula	Frankenstein's monster and Count Dracula	Frankenstein's monster; Count Dracula	1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4	e2e4 e7e5 b1c3 g8f6 f1c4 f6e4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Bir.Fro	Bird's Opening, From's Gambit	From's Gambit of the Bird's Opening	Martin Severin From	Martin Severin From	Martin Severin From	1.f4 e5	f2f4 e7e5	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QGA.Cls.MLn.dxc5.Bxc5	QGA Classical Main Line, Bxc5	Furman Variation of the Queen's Gambit Accepted	Semyon Furman	Semyon Furman	Semyon Furman	1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.0-0 a6 7.dxc5 Bxc5	d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 d4c5 f8c5	book	attested		<ref>{{cite book|last=Rizzitano|first=James|title=How to Beat 1 d4|publisher=Gambit|year=2005|page=160|isbn=1-904600-33-6}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Cha.Gaj	Ruy López Chigorin, Gajewski Gambit	Gajewski Gambit of the Ruy Lopez	Grzegorz Gajewski	Grzegorz Gajewski	Grzegorz Gajewski	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.Re1 b5 7.Bb3 d6 8.c3 0-0 9.h3 Na5 10.Bc2 d5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 d6d5	web	attested		<ref>{{cite web|url=http://www.newinchess.com/Attacking_the_Spanish-p-1829.html|title=Attacking the Spanish|publisher=New In Chess|accessdate=2009-10-27|archive-url=https://web.archive.org/web/20160401061002/https://www.newinchess.com/attacking_the_spanish-p-1829.html|archive-date=2016-04-01|url-sta -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.KID.Cls.e5.O-O.Na6	KID Classical Castled, Glek	Glek Defense of the King's Indian Defence	Igor Glek	Igor Glek	Igor Glek	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 0-0 6.Be2 e5 7.0-0 Na6	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8a6	web	attested		<ref>{{cite web|url=http://www.newinchess.com/Yearbook_63-p-249.html|title=Yearbook 63|publisher=New In Chess|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Fou.Glk	Four Knights, Glek System	Glek Variation of the Four Knights Game	Igor Glek	Igor Glek	Igor Glek	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.g3	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 g2g3	web	attested		<ref>{{cite web|url=http://www.newinchess.com/SO_Glek_Variation_4_g3-so-464.html|title=SO Glek Variation 4.g3 – Yearbook Surveys|publisher=New In Chess|accessdate=2009-10-26|archive-url=https://web.archive.org/web/20160223092428/https://www.newinchess.com/SO_Glek_Variation_4_g3-so-464.html|archive-d -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Ind.WIn.f3.d5	Anti-Grünfeld Alekhine, Goglidze Attack	Goglidze Attack	Viktor Goglidze	Viktor Goglidze		1.d4 Nf6 2.c4 g6 3.f3 d5	d2d4 g8f6 c2c4 g7g6 f2f3 d7d5	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Indian-Defense-Alekhine-Anti-Grunfeld-Neo-Grunfeld-Defense-Goglidze-Attack|title=Neo-Grünfeld Defense: Goglidze Attack (D70)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Sco.Gor	Scotch, Göring Gambit	Göring Gambit of the Scotch Game	Carl Göring	Carl Göring	Carl Göring	1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.c3	e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 c2c3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Old.d4.cxd4.Nxd4.Qb6	Old Sicilian, Godiva Variation	Grivas Variation of the Sicilian Defence	Efstratios Grivas	Efstratios Grivas	Efstratios Grivas	1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qb6	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6	book	attested		<ref>{{cite book|last=Grivas|first=Efstratios|title= Complete Guide to the Grivas Sicilian|publisher=Gambit Publications|year=2005|isbn=978-1-904600-36-7}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Gro	Grob Opening	Grob's Attack	Henri Grob	Henri Grob	Henri Grob	1.g4	g2g4	book	attested	yes	<ref>{{cite book | author=Michael Basman | title=The Killer Grob | publisher=Cadogan | year=1991 | isbn= 0-08-037131-0| author-link=Michael Basman }}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Kgt.Qe7	King's Knight Opening, Gunderam Defence	Gunderam Defense	Gerhard Gunderam	Gerhard Gunderam		1.e4 e5 2.Nf3 Qe7	e2e4 e7e5 g1f3 d8e7	web	attested		<ref>{{cite web|url=http://www.chessarch.com/library/0000_eco/c40.shtml|title=C40: Irregular King's Knight: Gunderam|publisher=Chess Archaeology|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Mod.Std.Nc3.C6S.Grg	Modern Defence, Gurgenidze Defence	Gurgenidze Defense of the Modern Defense	Bukhuti Gurgenidze	Bukhuti Gurgenidze	Bukhuti Gurgenidze	1.e4 g6 2.d4 Bg7 3.Nc3 c6 4.f4 d5 5.e5 h5	e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f2f4 d7d5 e4e5 h7h5	web	attested		<ref name="Gurgenidze">{{cite web|url=http://www.chessbase.com/newsdetail.asp?newsid=4653|title=Death of a chess original – Bukhuti Gurgenidze, 1933–2008|date=2008-05-26|publisher=ChessBase|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.CaK.Dpn.Nc3.Gur	Caro-Kann, Gurgenidze Counterattack	Gurgenidze Variation of the [[Caro	Bukhuti Gurgenidze	Bukhuti Gurgenidze	Bukhuti Gurgenidze	1.e4 c6 2.d4 d5 3.Nc3 b5	e2e4 c7c6 d2d4 d7d5 b1c3 b7b5	web	attested		<ref name="Gurgenidze"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Ros.Cls.MLn.Gur	Rossolimo Classical, Gurgenidze Variation	Gurgenidze Variation of the Sicilian Defence	Bukhuti Gurgenidze	Bukhuti Gurgenidze	Bukhuti Gurgenidze	1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.0-0 Bg7 5.Re1 e5 6.b4	e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 e7e5 b2b4	web	attested		<ref name="Gurgenidze"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QPG.c4.c5.cxd5.Nf6	Queen's Gambit Austrian, Gusev Countergambit	Gusev Countergambit of the Queen's Gambit Declined	Yuri Gusev	Yuri Gusev	Yuri Gusev	1.d4 d5 2.c4 c5 3.cxd5 Nf6	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Queens-Gambit-Declined-Austrian-Gusev-Countergambit|title=Queen's Gambit Refused: Austrian Defense, Gusev Countergambit (D06)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Kgt.Qf6	King's Knight Opening, McConnell Defence	Greco Defence	Gioachino Greco	Gioachino Greco	Gioachino Greco	1.e4 e5 2.Nf3 Qf6	e2e4 e7e5 g1f3 d8f6	book	attested		<ref>{{cite book |last=Schiller |first=Eric |authorlink=Eric Schiller |title=Unorthodox Chess Openings |publisher=[[Avery Cardoza#Cardoza Publishing|Cardoza Publishing]] |year=1998 |chapter=McConnell Defense |page=[https://archive.org/details/unorthodoxchesso00schi/page/287 287] |isbn=0-940685-73-6  -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Gru	Grünfeld Defence	Grünfeld Defence	Ernst Grünfeld	Ernst Grünfeld	Ernst Grünfeld	1.d4 Nf6 2.c4 g6 3.Nc3 d5	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.PhD.d4.Nd7	Philidor Defence, Hanham Move Order	Hanham Variation of the Philidor Defense	James Hanham	James Hanham	James Hanham	1.e4 e5 2.Nf3 d6 3.d4 Nd7	e2e4 e7e5 g1f3 d7d6 d2d4 b8d7	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QGD.QKn.Nrm.Har	QGD Queen's Knight Normal, Harrwitz Prefix	Harrwitz Attack of the Queen's Gambit Declined	Daniel Harrwitz	Daniel Harrwitz	Daniel Harrwitz	1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1f4	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Queens-Gambit-Declined-Harrwitz-Attack|title=Queen's Gambit Declined: Harrwitz Attack|publisher=Chess.com|accessdate=2023-04-02}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QPG.Lev	Levitsky Attack	Hodgson Attack	Julian Hodgson	Julian Hodgson	Julian Hodgson	1.d4 d5 2.Bg5	d2d4 d7d5 c1g5	book	attested		<ref>{{cite book|last=Rizzitano|first=James|title=How to Beat 1.d4|publisher=Gambit|year=2006|isbn=1-904600-33-6}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Hol.Hop	Dutch Defence, Hopton Attack	Hopton Attack of the Dutch Defence	Hopton	Hopton		1.d4 f5 2.Bg5	d2d4 f7f5 c1g5	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1242990|title=Frank Melville Teed vs. Eugene Delmar, New York 1896, Dutch Defense: Hopton Attack (A80)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Hor	Horwitz Defence	Horwitz Defense	Bernhard Horwitz	Bernhard Horwitz	Bernhard Horwitz	1.d4 e6	d2d4 e7e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ben.d5.d6	Benoni Defence d5, d6	Hromádka System of the Benoni Defence	Karel Hromádka	Karel Hromádka	Karel Hromádka	1.d4 Nf6 2.c4 c5 3.d5 d6	d2d4 g8f6 c2c4 c7c5 d4d5 d7d6	web	attested		<ref>{{cite web|url=http://www.chessarch.com/library/0000_eco/a56.shtml|title=A56: Benoni: Hromádka|publisher=Chess Archaeology|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Nim.Rub.c5	Nimzo Rubinstein, c5	Hübner Variation of the Nimzo-Indian Defence	Robert Hübner	Robert Hübner	Robert Hübner	1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Nimzo-Indian-Defense-Hubner-Variation|title=Nimzo-Indian Defense: Huebner Variation, Main Line (E41)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Hol.Cls.IZh	Dutch Classical, Ilyin-Zhenevsky	Ilyin-Genevsky Variation of the Dutch Defence	Alexander Ilyin-Genevsky	Alexander Ilyin-Genevsky	Alexander Ilyin-Genevsky	1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 0-0 6.0-0 d6 7.Nc3 Qe8	d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6 b1c3 d8e8	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=A98|title=Dutch, Ilyin-Genevsky Variation with Qc2 (A98)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.OldI.Jan	Old Indian, Janowski Variation	Janowski Variation of the Old Indian Defence	Dawid Janowski	Dawid Janowski	Dawid Janowski	1.d4 Nf6 2.c4 d6 3.Nc3 Bf5	d2d4 g8f6 c2c4 d7d6 b1c3 c8f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.Giu.Bxf7	Italian Giuoco Piano, Jerome Attack	Jerome Gambit of the Italian Game	Alonzo Wheeler Jerome	Alonzo Wheeler Jerome		1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.Bxf7+	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c4f7	book	attested		<ref>{{cite book|last=Lane|first=Gary|title=The greatest ever chess tricks and traps|publisher=Everyman Chess|year=2008|isbn=978-1-85744-577-0}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Kan	Sicilian Kan	Kan Variation of the Sicilian Defence	Ilya Kan	Ilya Kan	Ilya Kan	1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6	e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6	web	attested		<ref name="Sicilian"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Pet.Nxe5.d6.Nd3	Petrov Defence, Karklins-Martinovsky	Karklins	Chicago masters Andrew Karklins and Eugene Martinovsky	Chicago masters Andrew Karklins and Eugene Martinovsky		1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nd3	e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5d3	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Petrovs-Defense-Classical-Karklins-Martinovsky-Variation|title=Russian Game: Karklins–Martinovsky Variation (C42)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.CaK.Kar	Caro-Kann, Karpov	Karpov Variation of the [[Caro	Anatoly Karpov	Anatoly Karpov	Anatoly Karpov	1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7	e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Caro-Kann-Defense-Karpov-Variation|title=Caro-Kann Defense: Karpov Variation|publisher=Chess.com|accessdate=2021-12-14}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Pir.150.MLn	Pirc 150 Attack, Main Line	Kasparov Variation of Pirc Defense	Garry Kasparov	Garry Kasparov	Garry Kasparov	1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 Bg7 5.Qd2	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 f8g7 d1d2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Nf3.b6	Sicilian 2.Nf3, Katalimov Variation	Katalymov Variation of the Sicilian Defence	Boris Katalymov	Boris Katalymov	Boris Katalymov	1.e4 c5 2.Nf3 b6	e2e4 c7c5 g1f3 b7b6	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=5&n=313&ms=e4.c5.Nf3.b6|title=B27: Sicilian, Katalimov variation|publisher=365Chess|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Qh4.g3.Qe7	King's Gambit Keene Defence	Keene Defense to the King's Gambit	Raymond Keene	Raymond Keene	Raymond Keene	1.e4 e5 2.f4 Qh4+ 3.g3 Qe7	e2e4 e7e5 f2f4 d8h4 g2g3 h4e7	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Gambit-Declined-Keene-Defense-3.g3-Qe7|title=King's Gambit: Declined, Keene Defense (C30)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Sch.Krs	Sicilian Scheveningen, Keres Attack	Keres Attack of the Sicilian Defence	Paul Keres	Paul Keres	Paul Keres	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g4	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g4	book	attested		<ref>{{cite book|last=Pritchett|first=Craig|title=Sicilian Scheveningen|publisher=Everyman Chess|year=2006|isbn=978-1-85744-413-1}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Kan	Kangaroo Defence	Keres Defence	Paul Keres	Paul Keres	Paul Keres	1.d4 e6 2.c4 Bb4+	d2d4 e7e6 c2c4 f8b4	web	attested		<ref name="fqechecs">{{cite web|url=http://www.fqechecs.qc.ca/index.php?typ=actu&id=252&categorie=1|title=ECO A00-A49 (anglais)|publisher=Fédération québécoise des échecs|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Ker	Sicilian, Keres Variation	Keres Variation of the Sicilian Defence	Paul Keres	Paul Keres	Paul Keres	1.e4 c5 2.Ne2	e2e4 c7c5 g1e2	web	attested		<ref name="Sicilian"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Eng.Mik.Nc6	English Mikėnas-Carls, Nc6	Kevitz Variation of the English Opening	Alexander Kevitz	Alexander Kevitz	Alexander Kevitz	1.c4 Nf6 2.Nc3 e6 3.e4 Nc6	c2c4 g8f6 b1c3 e7e6 e2e4 b8c6	web	attested		<ref name="fqechecs"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Kie	King's Gambit Accepted, Kieseritzky	Kieseritzky Gambit of the King's Gambit	Lionel Kieseritzky	Lionel Kieseritzky	Lionel Kieseritzky	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Opn.Nc3	Ruy López Open, Knorre Variation	Knorre Variation of the Ruy Lopez	Viktor Knorre	Viktor Knorre	Viktor Knorre	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Nxe4 6.Nc3	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 b1c3	web	attested		<ref>{{cite web|url=http://chess-ref.org/opening.php?id=1412|title=Ruy Lopez, Open, Knorre variation (ECO: C80)|publisher=Chess-Ref.org|accessdate=2009-10-29}}{{Dead link|date=September 2025 |bot=InternetArchiveBot }}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Giu.O-O.Nf6.d4	Italian Giuoco Piano O-O Nf6, d4	Koltanowski Gambit of the Italian Game	George Koltanowski	George Koltanowski	George Koltanowski	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.0-0 Nf6 5.d4	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre.Win.Knd	French Winawer, Kondratiyev Variation	Kondratiyev Variation of the French Defence	Pavel Kondratiyev	Pavel Kondratiyev		1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.Bd3 c5 5.exd5 Qxd5 6.Bd2	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 f1d3 c7c5 e4d5 d8d5 c1d2	web	attested		<ref>{{cite web|url=http://chess-ref.org/opening.php?id=783|title=French, Winawer, Kondratiyev variation (ECO: C15)|publisher=Chess-Ref.org|accessdate=2009-10-29}}{{Dead link|date=September 2025 |bot=InternetArchiveBot }}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.ClD.c3.d5	Ruy López Classical, Konikowski Gambit	Konikowski Gambit of the Ruy Lopez	Jerzy Konikowski	Jerzy Konikowski	Jerzy Konikowski	1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 d5	e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 d7d5	web	attested		<ref>{{cite web|url=http://www.vikingskak.dk/GambiteersGuild/Gambits/e4e5Nf3.htm|title=The Gambiteers Guild: Spanish Gambits|publisher=Vikingskak.dk|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Kgt.MLn.g3	King's Knight Opening Main Line, g3	Konstantinopolsky Opening	Alexander Konstantinopolsky	Alexander Konstantinopolsky	Alexander Konstantinopolsky	1.e4 e5 2.Nf3 Nc6 3.g3	e2e4 e7e5 g1f3 b8c6 g2g3	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Bgm.Dec.Lam	Blackmar-Diemer Declined, Lamb Defence	Lamb Defense of the [[Blackmar	F. Lamb	F. Lamb		1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Nc6	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 b8c6	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Lamb-Defense|title=Blackmar-Diemer Gambit: Declined, Lamb Defense (D00)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Lar	Larsen Attack	Larsen's Opening	Bent Larsen	Bent Larsen	Bent Larsen	1.b3	b2b3	web	attested	yes	<ref>{{cite web|url=http://www.365chess.com/eco/A01_Nimzovich-Larsen_attack|title=ECO A01: Nimzovich-Larsen attack|publisher=365Chess.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Evn.Acc.Stn.O-O.Las	Evans Accepted Steinitz, Lasker Defence	Lasker Defence of the Evans Gambit	Emanuel Lasker	Emanuel Lasker	Emanuel Lasker	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.0-0 d6 7.d4 Bb6	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 a5b6	web	attested		<ref>{{Cite web|url=https://www.365chess.com/eco/C52_Evans_gambit_Lasker_defence|title=C52: Evans gambit, Lasker defence}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QGD.Lsk	QGD, Lasker	Lasker Defence of the Queen's Gambit Declined	Emanuel Lasker	Emanuel Lasker	Emanuel Lasker	1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 0-0 6.Nf3 h6 7.Bh4 Ne4	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 g1f3 h7h6 g5h4 f6e4	web	attested		<ref>{{Cite web|url=https://www.365chess.com/eco/D56_Queen%27s_Gambit_Declined_Lasker_defence|title = D56: Queen's Gambit Declined, Lasker defence}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Ind.WIn.f3.e5	Anti-Grünfeld Alekhine, Leko Gambit	Leko Gambit of the Anti-Grünfeld	Peter Leko	Peter Leko	Peter Leko	1.d4 Nf6 2.c4 g6 3.f3 e5	d2d4 g8f6 c2c4 g7g6 f2f3 e7e5	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1266450|title=Vladimir Kramnik vs. Peter Leko, Tilburg 1998, Indian Game: Anti-Grunfeld. Alekhine Variation Leko Gambit (E60)|publisher=ChessGames.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.d3	King's Pawn Game, Leonardis Variation	Leonardis Variation of the King's Pawn Opening	James A. Leonard	James A. Leonard	James A. Leonard	1.e4 e5 2.d3	e2e4 e7e5 d2d3	web	attested		<ref>{{cite web|url=https://www.chess.com/lessons/make-the-most-of-your-pieces/using-your-knights|title=Using Your Knights|publisher=Chess.com|accessdate=2025-07-10}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Evn.Acc.Stn.d4.b5	Evans Accepted Steinitz d4, b5	Leonhardt Variation of the Evans Gambit	Paul Saladin Leonhardt	Paul Saladin Leonhardt	Paul Saladin Leonhardt	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 b5	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 b7b5	oxford-companion	attested		{{sfn|Hooper|Whyld|1992|p=474}} -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QPG.Lev	Levitsky Attack	Levitsky Attack	Stepan Levitsky	Stepan Levitsky	Stepan Levitsky	1.d4 d5 2.Bg5	d2d4 d7d5 c1g5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Dra.Lev	Sicilian Dragon, Levenfish	Levenfish Attack in the Sicilian Defence, Dragon Variation	Grigory Levenfish	Grigory Levenfish	Grigory Levenfish	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f4	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f2f4	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=B71|title=Sicilian, Dragon, Levenfish Variation (B71)|publisher=ChessGames.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
