ocn1	canonical_name	wikipedia_name	place	relation	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
B.Sca.Ice	Scandinavian, Icelandic Gambit	Icelandic Gambit of the Scandinavian Defense	Icelandic	named-after-place	1.e4 d5 2.exd5 Nf6 3.c4 e6	e2e4 d7d5 e4d5 g8f6 c2c4 e7e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KPO.Kgt.MLn.Be2	King's Knight Opening Main Line, Be2	Inverted Hungarian Opening	Inverted Hungarian	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Be2	e2e4 e7e5 g1f3 b8c6 f1e2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KPO.Kgt.MLn.Nxe5	King's Knight Opening Main Line, Nxe5	Irish Gambit	Irish	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Nxe5	e2e4 e7e5 g1f3 b8c6 f3e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Cen.exd4.f4	Center Game exd4, f4	Israeli Gambit (or Halasz Gambit)	Israeli	alias-candidate	1.e4 e5 2.d4 exd4 3.f4	e2e4 e7e5 d2d4 e5d4 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.Giu.d4	Italian Giuoco Piano, Rosentreter Gambit	Italian Gambit	Italian	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d4	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita	Italian Game	Italian Game	Italian	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bc4 (Bc5)	e2e4 e7e5 g1f3 b8c6 f1c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Eng.Rev.e3.Nf6.f4.Nf3	English Reversed Sicilian Kahiko-Hula, Nf3	Kahiko-Hula Gambit of the English Opening	Kahiko-Hula	named-after-place	1.c4 e5 2.e3 Nf6 3.f4 exf4 4.Nf3	c2c4 e7e5 e2e3 g8f6 f2f4 e5f4 g1f3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.KID.Cls.Oth.Na6	KID Classical Orthodox, Kazakh Variation	Kazakh Variation of the King's Indian	Kazakh	named-after-place	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 0-0 6.Be2	Na6	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 b8a6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Gru.Neo	Neo-Grünfeld Defence	Kemeri Variation of the King's Indian Defense	Kemeri	alias-candidate	1.d4 Nf6 2.c4 g6 3.g3 d5	d2d4 g8f6 c2c4 g7g6 g2g3 d7d5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sca.Nf6.Mar.Kie	Scandinavian Marshall, Kiel Variation	Kiel Variation of the Scandinavian Defense	Kiel	named-after-place	1.e4 d5 2.exd5 Nf6 3.d4 Nxd5 4.c4 Nb4	e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.LtO	Latvian Gambit	Latvian Gambit	Latvian	named-after-place	1.e4 e5 2.Nf3 f5	e2e4 e7e5 g1f3 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Fou.Hal	Four Knights, Halloween Gambit	Leipzig Gambit (or Müller-Schulze Gambit)	Leipzig	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Nxe5?!	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f3e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Bgm.Cap.Nc3.e5	Blackmar-Diemer Gambit, Lemberger Countergambit	Lemberg Countergambit	Lemberg	named-after-place	1.d4 d5 2.e4 dxe4 3.Nc3 e5	d2d4 d7d5 e2e4 d5e4 b1c3 e7e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Hol.Fch.g6	Dutch Fianchetto, Leningrad Prefix	Leningrad Variation of the Dutch Defense	Leningrad	named-after-place	1.d4 f5 2.g3 g6	d2d4 f7f5 g2g3 g7g6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.OID.e5.dxe5.Nc6	Old Indian English Rat, Lisbon Gambit	Lisbon Gambit of the Queen's Pawn Opening, English Rat	Lisbon	named-after-place	1.d4 d6 2.c4 e5 3.dxe5 Nc6	d2d4 d7d6 c2c4 e7e5 d4e5 b8c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Mik.Ker	Mikėnas Defence, Kevitz-Trajkovic Line	Lithuanian Variation of the Mikėnas Defense	Lithuanian	alias-candidate	1.d4 Nc6 2.c4 e5 3.d5 Nce7	d2d4 b8c6 c2c4 e7e5 d4d5 c6e7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar.Rub	Tarrasch, Rubinstein System	Lodz Variation of the Tarrasch Defense	Lodz	alias-candidate	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Eng.Rev.Nc3.Nf6.f4	English Reversed Sicilian, Mazedonisch	Macedonian Variation of the English Opening	Macedonian	alias-candidate	1.c4 e5 2.Nc3 Nf6 3.f4	c2c4 e7e5 b1c3 g8f6 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QGA.Man	QGA, Mannheim	Mannheim Variation of the QGA	Mannheim	named-after-place	1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Qa4+	d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 d1a4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Cls.Rch.e6.Bb5	Richter-Rauzer, Vitolins Variation	Margate Variation of the Sicilian Defense	Margate	alias-candidate	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Bb5	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 f1b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Win.cxb4.a3.d5.Bb2	Sicilian Wing Gambit, Marienbad Variation	Marienbad Variation of the Sicilian Defense, Wing Gambit	Marienbad	named-after-place	1.e4 c5 2.b4 cxb4 3.a3 d5 4.exd5 Qxd5 5.Bb2	e2e4 c7c5 b2b4 c5b4 a2a3 d7d5 e4d5 d8d5 c1b2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.CaK.Dpn.Mss	Caro-Kann, Massachusetts Defence	Massachusetts Defense of the Caro–Kann Defense	Massachusetts	named-after-place	1.e4 c6 2.d4 f5	e2e4 c7c6 d2d4 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre.Nrm.Nf6	French Defence, Mediterranean Defence	Mediterranean Defense	Mediterranean	named-after-place	1.e4 e6 2.d4 Nf6	e2e4 e7e6 d2d4 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Sem.e3.Nbd7.Bd3.dxc4.Bxc4	Semi-Slav Semi-Meran, Bxc4	Meran Variation of the Semi-Slav Defense	Meran	named-after-place	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ind.Tgo	Indian Game, Black Knights' Tango	Mexican Defense	Mexican	alias-candidate	1.d4 Nf6 2.c4 Nc6	d2d4 g8f6 c2c4 b8c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre.Exc.Mon	French Exchange, Monte Carlo Variation	Monte Carlo Variation of the French Defense	Monte Carlo	named-after-place	1.e4 e6 2.d4 d5 3.exd5 exd5 4.c4	e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 c2c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Mik.Mon	Mikėnas Defence, Montevideo	Montevideo Defense	Montevideo	named-after-place	1.d4 Nc6 2.d5 Nb8	d2d4 b8c6 d4d5 c6b8	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Mor	Sicilian Moscow	Moscow Variation of the Sicilian Defense	Moscow	named-after-place	1.e4 c5 2.Nf3 d6 3.Bb5+	e2e4 c7c5 g1f3 d7d6 f1b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ben.Old.Adv.f5	Old Benoni Advance, f5	Mujannah Formation of the Old Benoni Defense	Mujannah Formation	alias-candidate	1. d4 c5 2. d5 f5	d2d4 c7c5 d4d5 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Bir.Dut.c4	Bird Dutch, Sturm Gambit	Mujannah Opening (or Arabian Opening) of the Bird's Opening	Mujannah	alias-candidate	1.f4 d5 2.c4	f2f4 d7d5 c2c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Cen.Dsh	Danish Gambit	Nordic Gambit	Nordic	alias-candidate	1.e4 e5 2.d4 exd4 3.c3 (alternative name for the [[Danish Gambit]])	e2e4 e7e5 d2d4 e5d4 c2c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KGm.Qf6	King's Gambit Declined, Norwalde Variation	Nordwalde Variation of the King's Gambit Declined	Nordwalde	alias-candidate	1.e4 e5 2.f4 Qf6	e2e4 e7e5 f2f4 d8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Mod.Dpn.Nf6.Nor	Norwegian Defence, Norwegian Gambit	Norwegian Gambit of the Modern Defense	Norwegian	named-after-place	1.e4 g6 2.d4 Nf6 3.e5 Nh5 4.Be2 d6	e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 f1e2 d7d6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Mod.Dpn.Nf6	Modern Defence, Norwegian Defence	Norwegian Defense of the Modern Defense	Norwegian	named-after-place	1.e4 g6 2.d4 Nf6	e2e4 g7g6 d2d4 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Nor	Ruy López Morphy, Norwegian	Norwegian Defense of the Ruy Lopez	Norwegian	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 b5 5.Bb3 Na5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 b7b5 a4b3 c6a5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Dra.Be3.Bg7.Be2.Nb3	Dragon Be3 Classical, Nb3	Nottingham Variation of the Sicilian Defense, Dragon Variation	Nottingham	alias-candidate	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.Be2 Nc6 8.Nb3	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f1e2 b8c6 d4b3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Sve.Bxf6.Nd5.Bg7	Novosibirsk (10...Bg7)	Novosibirsk Variation of the Sicilian Defense	Novosibirsk	named-after-place	1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 Bg7	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f8g7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Nbg	Ruy López, Nuernberg Variation	Nuremberg Variation of the Ruy Lopez	Nuremberg	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Bb5 f6	e2e4 e7e5 g1f3 b8c6 f1b5 f7f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Vie.d6	Vienna Game, Omaha Gambit	Omaha Gambit of the Vienna Game	Omaha	named-after-place	1.e4 e5 2.Nc3 d6 3.f4	e2e4 e7e5 b1c3 d7d6 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Vie.Gbt.Fal.MLn.d3	Vienna Gambit Falkbeer, Modern	Oxford Variation of the Vienna Game	Oxford	alias-candidate	1.e4 e5 2.Nc3 Nf6 3.f4 d5 4.fxe5 Nxe4 5.d3	e2e4 e7e5 b1c3 g8f6 f2f4 d7d5 f4e5 f6e4 d2d3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Fou.Sco.Bb4.d5.Nd4	Four Knights Scotch Oxford, Nd4	Oxford Gambit of the Four Knights Game	Oxford	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 Bb4 5.d5 Nd4	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 f8b4 d4d5 c6d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.d6	Italian Game, Paris Defence	Paris Defense (or Semi-Italian Opening)	Paris	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bc4 d6	e2e4 e7e5 g1f3 b8c6 f1c4 d7d6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Ama.Par	Amar Opening, Paris Gambit	Paris Gambit	Paris	named-after-place	1.Nh3 d5 2.g3 e5 3.f4 (intending 3...Bxh3 4.Bxh3 exf4 5.0-0)	g1h3 d7d5 g2g3 e7e5 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Ama	Amar Opening	Paris Opening (or Amar Opening)	Paris	alias-candidate	1.Nh3	g1h3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QGD.Mod.BKo	QGD Modern, Been-Koomen Variation	Peruvian Variation of the Queen's Gambit Declined	Peruvian	alias-candidate	1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 c5	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 c7c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Pol	Polish Opening	Polish Opening (or Orangutan)	Polish	named-after-place	1.b4	b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Ret.Nf6.b4	Polish Opening, Zukertort System	Polish Attack	Polish	named-after-place	1.Nf3 Nf6 2.b4	g1f3 g8f6 b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.And.Pol	Anderssen's Opening, Polish Gambit	Polish Gambit of the Anderssen Opening	Polish	named-after-place	1.a3 a5 2.b4	a2a3 a7a5 b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.QPO.Nf6.Nf3.b5	Queen's Pawn Indian Knights, Polish Variation	Polish Variation of the Indian Game	Polish	named-after-place	1.d4 Nf6 2.Nf3 b5	d2d4 g8f6 g1f3 b7b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Old.b4	Old Sicilian, Portsmouth Gambit	Portsmouth Gambit of the Sicilian Defense	Portsmouth	named-after-place	1.e4 c5 2.Nf3 Nc6 3.b4	e2e4 c7c5 g1f3 b8c6 b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KPO.Prt	Portuguese Opening	Portuguese Opening	Portuguese	named-after-place	1.e4 e5 2.Bb5	e2e4 e7e5 f1b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KGm.Acc.Nf3.KKn.Bc4.Vns	King's Gambit Accepted, Salvio Gambit, Viennese Variation	Portuguese Variation of the King's Gambit	Portuguese	alias-candidate	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 Nc6	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 f3e5 d8h4 e1f1 b8c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar.Prg	Tarrasch, Prague Variation	Prague Variation of the Tarrasch Defense	Prague	named-after-place	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.Two	Italian, Two Knights	Prussian Game (or Two Knights Defense against the Italian Game)	Prussian	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ind.b5	Indian Defence, Pyrenees Gambit	Pyrenees Gambit	Pyrenees	named-after-place	1.d4 Nf6 2.c4 b5	d2d4 g8f6 c2c4 b7b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Opn.Rig	Ruy López Open, Riga	Riga Variation of the Ruy Lopez	Riga	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Nxe4 6.d4 exd4	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 e5d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Ber.Rio	Ruy López Berlin, Rio de Janeiro	Rio de Janeiro Variation of the Ruy Lopez	Rio de Janeiro	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.0-0 Nxe4 5.d4 Be7	e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Van	Van Geet Opening	Romanian Opening (or Dunst Opening)	Romanian	alias-candidate	1.Nc3	b1c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Win.cxb4.a3.d5.Qe6	Sicilian Wing Gambit, Romanian Defence	Romanian Defense of the Wing Gambit	Romanian	named-after-place	1.e4 c5 2.b4 cxb4 3.a3 d5 4.exd5 Qxd5 5.Nf3 e5 6.Bb2 Nc6 7.c4 Qe6	e2e4 c7c5 b2b4 c5b4 a2a3 d7d5 e4d5 d8d5 g1f3 e7e5 c1b2 b8c6 c2c4 d5e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Sla.Qui.cxd5.cxd5.Qb3	Slav Quiet Exchange, Landau Prefix	Rotterdam Variation of the Slav Defense	Rotterdam	alias-candidate	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.cxd5 cxd5 6.Qb3	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Ba4.Nf6.O-O.d6	Ruy López Morphy Castled, d6	Russian Defense of the Ruy Lopez	Russian	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 d6	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Pet	Petrov Defence	Russian Game (or Petrov's Defense)	Russian	alias-candidate	1.e4 e5 2.Nf3 Nf6	e2e4 e7e5 g1f3 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Ros.SFr	Sicilian Rossolimo, San Francisco Gambit	San Francisco Gambit of the Sicilian Defense	San Francisco	named-after-place	1.e4 c5 2.Nf3 Nc6 3.Bb5 Na5 4.b4	e2e4 c7c5 g1f3 b8c6 f1b5 c6a5 b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Sar	Saragossa Opening	Saragossa Opening	Saragossa	named-after-place	1.c3	c2c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sca	Scandinavian Defence	Scandinavian Defense	Scandinavian	named-after-place	1.e4 d5	e2e4 d7d5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Sch	Sicilian Scheveningen	Scheveningen Variation of the Sicilian Defense	Scheveningen	named-after-place	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Fou.Sco	Four Knights, Scotch Variation	Scotch Four Knights Game	Scotch Four Knights	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Sco.Gbt	Scotch, Scotch Gambit	Scotch Gambit	Scotch	named-after-place	1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4	e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Sco	Scotch Game	Scotch Game	Scotch	named-after-place	1.e4 e5 2.Nf3 Nc6 3.d4	e2e4 e7e5 g1f3 b8c6 d2d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Gru.Exc.SeV.Bc4.c5.Bxf7	Grünfeld Exchange Seville, Bxf7 Sacrifice	Seville Variation of the Grünfeld Defense	Seville	named-after-place	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 c5 8.Ne2 Nc6 9.Be3 0-0 10.0-0 Bg4 11.f3 Na5 12.Bxf7+	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 c7c5 g1e2 b8c6 c1e3 e8g8 e1g1 c8g4 f2f3 c6a5 c4f7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic	Sicilian Defence	Sicilian Defense	Sicilian	named-after-place	1.e4 c5	e2e4 c7c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Win	Sicilian, Wing Gambit	Sicilian Gambit (or Sicilian Wing Gambit)	Sicilian	named-after-place	1.e4 c5 2.b4	e2e4 c7c5 b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Sla	Slav Defence	Slav Defense	Slav	named-after-place	1.d4 d5 2.c4 c6	d2d4 d7d5 c2c4 c7c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL	Ruy López	Spanish Game (or Ruy Lopez)	Spanish	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Bb5	e2e4 e7e5 g1f3 b8c6 f1b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Egl.Har.Sto	Englund Hartlaub-Charlick, Stockholm Variation	Stockholm Variation of the Englund Gambit	Stockholm	named-after-place	1.d4 e5 2.dxe5 Nc6 3.Nf3 Qe7 4.Qd5	d2d4 e7e5 d4e5 b8c6 g1f3 d8e7 d1d5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Gru.Thr.Bg5	Grünfeld Three Knights, Bg5	Stockholm Variation of the Grünfeld Defense	Stockholm	alias-candidate	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bg5	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1g5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Nim.Rub.StP	Nimzo Rubinstein, St. Petersburg	St. Petersburg Variation of the Nimzo-Indian Defense	St. Petersburg	named-after-place	1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Opn.MLn.StP	Ruy López, Open, St. Petersburg Variation	St. Petersburg Variation of the Ruy Lopez	St. Petersburg	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Bc5 10.Nbd2	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 b1d2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar.Rub.c4	Tarrasch Rubinstein, Swedish Variation	Swedish Variation of the QGD, Tarrasch Defense	Swedish	named-after-place	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 c4	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 c5c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Bir.f5.e4	Bird Opening, Wagner-Zwitersch Gambit	Swiss Gambit of the Bird's Opening	Swiss	alias-candidate	1.f4 f5 2.e4	f2f4 f7f5 e2e4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre.Cls.Bd3	French Classical, Swiss Variation	Swiss Variation of the French Defense	Swiss	named-after-place	1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bd3	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 f1d3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KGm.Acc.Nf3.Scl.Tas	King's Gambit Accepted Schallopp, Tashkent Attack	Tashkent Attack of the King's Gambit	Tashkent	named-after-place	1.e4 e5 2.f4 exf4 3.Nf3 Nf6 4.e5 Nh5 5.g4	e2e4 e7e5 f2f4 e5f4 g1f3 g8f6 e4e5 f6h5 g2g4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
