ocn1	ocn_class	eco_codes	family_head	rationale_ref
E.Ben.d5.e6.Nc3.exd5.cxd5	E	A65	E.Ben	indians-e
E.Ben.d5.Ne4	E	A56	E.Ben	indians-e
E.Ben.dxc5	E	A56	E.Ben	indians-e
E.Ben.dxc5.e6	E	A56	E.Ben	indians-e
E.Ben.Old.Adv.Nf6	E	A43	E.Ben	indians-e
E.Ben.Old.Adv.Nf6.Nf3	E	A43	E.Ben	indians-e
E.Ben.Old.Adv.Nf6.Nc3	E	A43	E.Ben	indians-e
E.Ben.Old.Adv.f5	E	A43	E.Ben	indians-e
E.Ben.Old.Adv.f5.e4	E	A43	E.Ben	indians-e
E.Ben.Old.Adv.e5	E	A44	E.Ben	indians-e
E.Ben.Old.Adv.e5.e4	E	A44	E.Ben	indians-e
E.Ben.Bnk.e4	E	A57	E.Ben	indians-e
E.Ben.Bnk.Nf3	E	A57	E.Ben	indians-e
E.Ben.Bnk.f3	E	A57	E.Ben	indians-e
E.Ben.Bnk.Nd2	E	A57	E.Ben	indians-e
E.Ben.Bnk.a4	E	A57	E.Ben	indians-e
E.Ben.Bnk.g4	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.f3	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.e3	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.b6	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.Nc3	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.Nc3.axb5	E	A57	E.Ben	indians-e
A.QPO.Nf6.Nf3.e6.e3.b6	A	E14	A.QPO	london-colle-a
B.Fre.Adv.c5	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3.Nc6	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3.Nc6.Nf3	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3.Qb6	B	C02	B.Fre	french-b
B.Fre.Adv.c5.Nf3	B	C02	B.Fre	french-b
B.Fre.Adv.c5.Nf3.cxd4	B	C02	B.Fre	french-b
B.Fre.Adv.c5.b4	B	C02	B.Fre	french-b
B.Fre.Adv.c5.dxc5	B	C02	B.Fre	french-b
B.Fre.Adv.Bd7	B	C02	B.Fre	french-b
A.Hor.Fch.MLn.Bg5	A	D50|D51|D53|D54	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.c5	A	D50	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.c5.cxd5	A	D50	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Nbd7	A	D51	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Nbd7.e3	A	D51	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7	A	D53|D54	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7.Nf3	A	D53	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7.Bxf6	A	D53	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bf4	A	D35	A.Hor	london-colle-a
A.Hor.Fch.MLn.cxd5	A	D35	A.Hor	london-colle-a
A.Kan.MLn.e3.c5	A	E29|E41|E42	A.Kan	misc
A.Kan.MLn.e3.c5.Bd3	A	E29	A.Kan	misc
A.Kan.MLn.e3.c5.Bd3.Nc6	A	E29	A.Kan	misc
A.Kan.MLn.e3.c5.Ne2	A	E42	A.Kan	misc
A.Kan.MLn.e3.O-O	A	E28|E46|E50|E51	A.Kan	misc
A.Kan.MLn.e3.O-O.a3	A	E28|E51	A.Kan	misc
A.Kan.MLn.e3.O-O.Nf3	A	E50|E51	A.Kan	misc
A.Kan.MLn.e3.O-O.Nf3.d5	A	E51	A.Kan	misc
A.Kan.MLn.e3.O-O.Ne2	A	E46	A.Kan	misc
A.Kan.MLn.e3.Ne4	A	E43	A.Kan	misc
A.Kan.MLn.e3.Ne4.Qc2	A	E43	A.Kan	misc
B.Fre.Mac.MLn.exf6	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.exf6.hxg5	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.exf6.hxg5.fxg7	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bc1	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bd2	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bd2.Bxc3	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bd2.Nfd7	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Be3	B	C12	B.Fre	french-b
A.QPO.g6.Nf3.Bg7.Nc3	A	D00	A.QPO	london-colle-a
A.QPO.g6.Nf3.Bg7.Nc3.d5	A	D00	A.QPO	london-colle-a
A.QPO.g6.Nf3.Bg7.Bf4	A	D02	A.QPO	london-colle-a
A.QPO.g6.Nf3.Bg7.Bf4.c5	A	D02	A.QPO	london-colle-a
E.Ben.Old.dxc5	E	A43	E.Ben	indians-e
E.Ben.Old.dxc5.Na6	E	A43	E.Ben	indians-e
E.Ben.Old.dxc5.b6	E	A43	E.Ben	indians-e
E.Ben.Old.c4	E	A43	E.Ben	indians-e
E.Ben.Old.c4.cxd4	E	A43	E.Ben	indians-e
E.Ben.Old.c4.cxd4.e3	E	A43	E.Ben	indians-e
B.Fre.Cls.exd5	B	C01|C11	B.Fre	french-b
B.Fre.Cls.exd5.exd5	B	C01|C11	B.Fre	french-b
B.Fre.Cls.exd5.exd5.Bg5	B	C01	B.Fre	french-b
B.Fre.Cls.Bd3	B	C11	B.Fre	french-b
B.Fre.Cls.Be3	B	C11	B.Fre	french-b
B.Fre.Tar.Cls.MLn.Bd3	B	C05|C06	B.Fre	french-b
B.Fre.Tar.Cls.MLn.Bd3.c5	B	C05|C06	B.Fre	french-b
B.Fre.Tar.Cls.MLn.f4	B	C05	B.Fre	french-b
E.Ben.Mod.Cls.MLn.a6	E	A74|A75	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.a6.a4	E	A74|A75	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.Re8	E	A76|A77|A78|A79	E.Ben	indians-e
B.Fre.Cls.MLn.e5.Nfd7.Bxe7	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7.Qg4	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7.Qd2	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7.f4	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7.Bd3	B	C14	B.Fre	french-b
A.Hor.Fch.Nf3	A	D30	A.Hor	london-colle-a
A.Hor.Fch.Nf3.c5	A	D30	A.Hor	london-colle-a
A.Hor.Fch.Nf3.c5.cxd5	A	D30	A.Hor	london-colle-a
A.Hor.Fch.Nc3	A	D31	A.Hor	london-colle-a
A.Hor.Fch.Nc3.c6	A	D31	A.Hor	london-colle-a
E.Ben.Bnk.Acc.MLn.g6	E	A58|A59	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.g6.Nc3	E	A58|A59	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6.Nc3	E	A58|A59	E.Ben	indians-e
B.Fre.Cls.MLn.ACh.Bxg5	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.ACh.Bxg5.hxg5	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.ACh.c5	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.ACh.a6	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.ACh.O-O	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.ACh.f6	B	C13	B.Fre	french-b
D.Cat.Cls.Qc2.c6.Nbd2	D	E09	D.Cat	catalan-d
D.Cat.Cls.Qc2.c6.Bf4	D	E08|E09	D.Cat	catalan-d
D.Cat.Cls.Qc2.c6.Bf4.b6	D	E08|E09	D.Cat	catalan-d
A.OID.Mod.MLn.Nf6.Bg5	A	E70	A.OID	misc
A.OID.Mod.MLn.Nf6.Nge2	A	E70	A.OID	misc
A.OID.Mod.MLn.Nf6.g3	A	E72	A.OID	misc
A.OID.Mod.MLn.Nf6.Be2	A	E73	A.OID	misc
A.Mod.Avk.MLn.Be2.Na6	A	E91	A.Mod	misc
A.Mod.Avk.MLn.Be2.e5	A	E92|E94	A.Mod	misc
A.Mod.Avk.MLn.Be2.e5.O-O	A	E94	A.Mod	misc
E.Ben.Old.Adv.Nf6.Nf3.c4	E	A43	E.Ben	indians-e
E.OldI.Jan.Fch	E	A53	E.OldI	indians-e
E.OldI.Jan.Grn	E	A53	E.OldI	indians-e
E.OldI.Jan.f3	E	A53	E.OldI	indians-e
E.Ben.Mod.KPL	E	A65	E.Ben	indians-e
E.Ben.Mod.KPL.Be3	E	A65	E.Ben	indians-e
E.Ben.Mod.KPL.Bg5	E	A65	E.Ben	indians-e
E.Ben.Mod.KPL.Nge2	E	A65	E.Ben	indians-e
E.Gru.Exc.Cla.Rb1	E	D85	E.Gru	gruenfeld-e
E.Gru.Exc.Cla.h3	E	D85	E.Gru	gruenfeld-e
E.Gru.Exc.Cla.Rb1.O-O	E	D85	E.Gru	gruenfeld-e
E.Gru.Exc.Cla.Rb1.O-O.Be2	E	D85	E.Gru	gruenfeld-e
E.Gru.Exc.Cla.Pwn	E	D85	E.Gru	gruenfeld-e
E.Ben.Nf3	E	A31|A56	E.Ben	indians-e
E.Ben.e3	E	A56	E.Ben	indians-e
E.Ben.e3.g6	E	A56	E.Ben	indians-e
E.Ben.e3.g6.Nc3	E	A56	E.Ben	indians-e
E.Ben.e3.g6.Nc3.Bg7	E	A56	E.Ben	indians-e
E.Ben.e3.g6.Nc3.Bg7.Nf3	E	A56	E.Ben	indians-e
E.Bud.Ng4	E	A52	E.Bud	budapest-e
E.Bud.Alk.Nxe5	E	A52	E.Bud	budapest-e
E.Bud.Alk.Nxe5.f4	E	A52	E.Bud	budapest-e
E.Bud.Alk.Nxe5.f4.Nec6	E	A52	E.Bud	budapest-e
E.Bud.Alk.d6	E	A52	E.Bud	budapest-e
E.Bud.Faj.Qc2	E	A51	E.Bud	budapest-e
E.Bud.Rub.Nc6	E	A52	E.Bud	budapest-e
E.Bud.Rub.Nc6.Nf3	E	A52	E.Bud	budapest-e
E.Bud.Adl.Nc6	E	A52	E.Bud	budapest-e
E.OldI.Ukr.e3	E	A54	E.OldI	indians-e
E.OldI.Ukr.e3.Nbd7	E	A54	E.OldI	indians-e
E.OldI.Ukr.e3.Nbd7.Bd3	E	A54	E.OldI	indians-e
E.OldI.Ukr.Nf3	E	A54	E.OldI	indians-e
E.Ind.WIn.f3.d5	E	D70	E.Ind	indians-e
E.Ind.WIn.f3.c5.d5	E	A65	E.Ind	indians-e
E.Ind.WIn.f3.c5.d5.d6	E	A65	E.Ind	indians-e
E.Ind.WIn.KPL	E	A65	E.Ind	indians-e
E.Ind.WIn.Nf3.d5	E	D70	E.Ind	indians-e
E.Gru.Hng.Rc1	E	D83	E.Gru	gruenfeld-e
E.Gru.Hng.Rc1.c5	E	D83	E.Gru	gruenfeld-e
E.Gru.Hng.Rc1.c5.dxc5	E	D83	E.Gru	gruenfeld-e
E.Gru.Hng.Rc1.c5.dxc5.Be6	E	D83	E.Gru	gruenfeld-e
E.Gru.Brn.Res	E	D83	E.Gru	gruenfeld-e
E.Gru.Sml.c5	E	D80	E.Gru	gruenfeld-e
E.Gru.Sml.c5.cxd5	E	D80	E.Gru	gruenfeld-e
E.Gru.Sml.c5.cxd5.Nxd5	E	D80	E.Gru	gruenfeld-e
E.Gru.Sml.c5.cxd5.Nxd5.Na4	E	D80	E.Gru	gruenfeld-e
E.Ben.Old.Adv.d6	E	A43	E.Ben	indians-e
E.Ind.Tgo.d5	E	A50	E.Ind	indians-e
E.Ind.Tgo.d5.Ne5	E	A50	E.Ind	indians-e
E.Ind.Tgo.d5.Ne5.f4	E	A50	E.Ind	indians-e
B.Fre.Tar.Hab	B	C03	B.Fre	french-b
B.Fre.Tar.Mod	B	C03	B.Fre	french-b
B.Fre.Tar.Mor	B	C03	B.Fre	french-b
B.Fre.Tar.Gui.Thb	B	C03	B.Fre	french-b
B.Fre.Tar.Gui.MLn	B	C04	B.Fre	french-b
B.Fre.Tar.Ope.EuK	B	C07	B.Fre	french-b
B.Fre.Tar.Ope.Suc	B	C07	B.Fre	french-b
B.Fre.Bur.Be7	B	C13	B.Fre	french-b
B.Fre.Bur.MLn	B	C11	B.Fre	french-b
B.Fre.Bur.Mrz	B	C11	B.Fre	french-b
B.Fre.Win.Arm.b4	B	C17	B.Fre	french-b
B.Fre.Win.Psn.Ein	B	C18	B.Fre	french-b
B.Fre.Win.Psn.Qxg7	B	C18	B.Fre	french-b
B.Fre.Win.Psn.Qxg7.Nbc6	B	C18	B.Fre	french-b
B.Fre.Win.Psn.O-O	B	C18	B.Fre	french-b
B.Fre.Cls.MLn.Bxf6	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.Bxf6.Qg4	B	C13	B.Fre	french-b
E.Ben.Bnk.Acc.MLn.g6.f4	E	A58	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.g6.g3	E	A58	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.g6.Kxf1	E	A59	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.g6.Kg2	E	A59	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.g6.Ne2	E	A59	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6.f4	E	A58	E.Ben	indians-e
E.KID.Sml.Cst.Bg5.c5.exd5	E	A65	E.KID	indians-e
E.Ind.e6.Nf3.c5.d5.g6	E	A61	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5.g3	E	A61	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5.Nd2	E	A61	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5.Bg5	E	A61	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5.e4	E	A70	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5.h3	E	A70	E.Ind	indians-e
E.Ind.e6.Nf3.d5.Bg5.h6	E	D30	E.Ind	indians-e
E.Ind.e6.Nf3.d5.Bg5.c6	E	D30	E.Ind	indians-e
E.Ind.e6.Nf3.d5.Bg5.Bb4	E	D30	E.Ind	indians-e
E.Ind.e6.Nf3.d5.e3.exd5	E	D35	E.Ind	indians-e
E.Gru.Exc.SeV.Bc4.Lrs	E	D86	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.Sim	E	D86	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.Lsr	E	D86	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.Lb6	E	D86	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.O-O-O	E	D98	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.c5	E	D99	E.Gru	gruenfeld-e
E.Ben.Mod.Cls.MLn.Re8.Tal	E	A77	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.Re8.Na6	E	A78	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.Re8.f3L	E	A79	E.Ben	indians-e
E.Gru.Neo.MLn.cxd5.O-O	E	D74	E.Gru	gruenfeld-e
E.Gru.Neo.MLn.cxd5.dxc5	E	D75	E.Gru	gruenfeld-e
E.Gru.Neo.MLn.cxd5.Nb6	E	D76	E.Gru	gruenfeld-e
E.Ind.WIn.Nf3.Bg7.g3.d5	E	D78	E.Ind	indians-e
E.Ind.WIn.Nf3.Bg7.g3.cxd5	E	D79	E.Ind	indians-e
A.Hor.Fch.MLn.Nf3.Nbd	A	D37	A.Hor	london-colle-a
A.Hor.Fch.MLn.Nf3.Nbd.Bf4	A	D35	A.Hor	london-colle-a
A.Hor.Fch.MLn.Nf3.Nbd.Bg5	A	D37	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7.Ne4	A	D53	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7.Neo	A	D54	A.Hor	london-colle-a
A.EID.Fch.NGr	A	D77	A.EID	london-colle-a
A.EID.Fch.NGr.dxc4	A	D77	A.EID	london-colle-a
A.EID.Fch.NGr.Nc6	A	D77	A.EID	london-colle-a
A.Kan.MLn.e3.c5.Ne2.cxd4	A	E42	A.Kan	misc
A.Col.Bd6.O-O.O-O	A	D05	A.Col	london-colle-a
A.Col.Bd6.O-O.O-O.b3	A	D05	A.Col	london-colle-a
A.Col.Bd6.O-O.O-O.b3.Nbd7	A	D05	A.Col	london-colle-a
A.Lon.Job.e6	A	D01	A.Lon	london-colle-a
A.Lon.Job.g6	A	D01	A.Lon	london-colle-a
D.Cat.O01	D	E04	D.Cat	catalan-d
D.Cat.Fch.Ope	D	E05	D.Cat	catalan-d
D.Cat.Fch.Clo	D	E06	D.Cat	catalan-d
D.Cat.Cls.Qc2.Btr.C01	D	E08	D.Cat	catalan-d
D.Cat.Fch.C01	D	E08	D.Cat	catalan-d
D.Cat.Cls.Qc2.Btr.Spa	D	E08	D.Cat	catalan-d
D.Cat.Fch.Mai	D	E09	D.Cat	catalan-d
B.Sic.McD.Maf	B	C30	B.Sic	misc
B.Fre.Rub.Nxe4	B	C10	B.Fre	french-b
B.Fre.Rub.Ell	B	C10	B.Fre	french-b
B.Fre.Rub.Mar	B	C10	B.Fre	french-b
B.Fre.Mac.Adv	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bd2.Bxc3.Kf8	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bd2.Bxc3.g6	B	C12	B.Fre	french-b
B.Fre.Tar.Ope.exd5.Qxd5	B	C07	B.Fre	french-b
B.Fre.Tar.Ope.exd5.Nf6	B	C07	B.Fre	french-b
B.Fre.Tar.Ope.exd5.Qxd5.Qd6	B	C07	B.Fre	french-b
B.Fre.Tar.Ope.exd5.Qxd5.Qd8	B	C07	B.Fre	french-b
B.Fre.Tar.Ope.exd5.exd5.c4	B	C08	B.Fre	french-b
B.Fre.Tar.Ope.exd5.exd5.Nc6	B	C09	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7.Nb5	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7.c4	B	C14	B.Fre	french-b
B.Fre.Adv.c5.c3.Nc6.Bd7	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3.Nc6.Qb6	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3.Nc6.Nh6	B	C02	B.Fre	french-b
B.Fre.Adv.c5.c3.Nc6.Be3	B	C02	B.Fre	french-b
B.Fre.Adv.c5.Nf3.cxd4.Bd3	B	C02	B.Fre	french-b
B.Fre.Tar.Cls.MLn.Bd3.b6	B	C05	B.Fre	french-b
B.Fre.Tar.Cls.MLn.Bd3.Nc6	B	C05	B.Fre	french-b
B.Fre.Tar.Cls.MLn.Bd3.MLn	B	C06	B.Fre	french-b
B.Fre.Tar.Cls.MLn.Bd3.Len	B	C06	B.Fre	french-b
B.Fre.Stn.MLn.f4.c5.Nc6	B	C11	B.Fre	french-b
B.Fre.Stn.MLn.f4.c5.Qg4	B	C11	B.Fre	french-b
B.Fre.Stn.MLn.f4.c5.f6	B	C11	B.Fre	french-b
B.Fre.Stn.MLn.f4.c5.Be3	B	C11	B.Fre	french-b
B.Fre.Cls.exd5.exd5.Bg5.Nc6	B	C01	B.Fre	french-b
B.Fre.Win.Adv.MLn.Ne7.Qc7	B	C18	B.Fre	french-b
B.Fre.Win.Adv.MLn.Ne7.Nbc6	B	C19	B.Fre	french-b
B.Fre.Win.Adv.Pos.Qa5.c4	B	C19	B.Fre	french-b
B.Fre.Win.Psn.MLn.Ne2	B	C18	B.Fre	french-b
B.Fre.Adv.Mil.MLn.O-O	B	C02	B.Fre	french-b
B.Fre.Adv.Mil.MLn.Bd7	B	C02	B.Fre	french-b
B.Fre.Adv.Mil.MLn.Sor	B	C02	B.Fre	french-b
B.Fre.Cls.MLn.e5.Ng8	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.e5.Ne4	B	C13	B.Fre	french-b
B.Fre.Cls.MLn.e5.Ng8.Be3	B	C13	B.Fre	french-b
B.Fre.Win.Psn.MLn.Bd3	B	C18	B.Fre	french-b
B.Fre.Win.Adv.MLn.Nc6	B	C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Nc6.Qa5	B	C19	B.Fre	french-b
D.Cat.Cls.Qc2.Bf4	D	E08	D.Cat	catalan-d
D.Cat.Cls.Qc2.Bf4.Bb7	D	E08	D.Cat	catalan-d
D.Cat.Cls.Qc2.Bf4.MLn	D	E09	D.Cat	catalan-d
D.Cat.Cls.Qc2.Bf4.Ret	D	E11	D.Cat	catalan-d
D.Cat.Cls.Qc2.Bf4.Ba6	D	E11	D.Cat	catalan-d
D.Cat.Cls.Qc2.Trd	D	E09	D.Cat	catalan-d
D.Cat.Cls.Qc2.Sok	D	E09	D.Cat	catalan-d
E.Ben.Old.Adv.Nf6.Nf3.b5	E	A43	E.Ben	indians-e
E.Ben.Bnk.Acc.Nc3.axb5.Nb5	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.Nc3.axb5.Bc4	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6.g3	E	A58	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6.Nd2	E	A58	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6.e4	E	A59	E.Ben	indians-e
E.Ben.Mod.Fou.Mik	E	A66	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.Re8	E	A69	E.Ben	indians-e
E.Ben.Mod.Cls.Trd	E	A70	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.a6.Bg4	E	A75	E.Ben	indians-e
E.Gru.Pac	E	D95	E.Gru	gruenfeld-e
E.Gru.Bg5.Ne4.Lun	E	D80	E.Gru	gruenfeld-e
E.Gru.Thr.e3.O-O.Bd2	E	D94	E.Gru	gruenfeld-e
E.Gru.Thr.e3.O-O.Qb3.e6	E	D95	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.c5.Bxf7	E	D87	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.c5.cxd4	E	D88	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.c5.Be6	E	D89	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.c5.d5	E	D89	E.Gru	gruenfeld-e
B.Fre.Nrm.d5.Nc3.a6.Nfd7	B	C11	B.Fre	french-b
B.Fre.Nrm.d5.Nc3.a6.a3	B	C11	B.Fre	french-b
B.Fre.Nrm.d5.Nc3.a6.Ne2	B	C11	B.Fre	french-b
B.Fre.Nrm.d5.Nc3.a6.Bg5	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Qxe7	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Qxe7.Qg4	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Qxe7.Qd2	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Qxe7.f4	B	C14	B.Fre	french-b
B.Fre.Cls.MLn.e5.Qxe7.Bd3	B	C14	B.Fre	french-b
B.Fre.Win.Adv.MLn.Nf3	B	C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Nf3.Qc7	B	C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Nf3.h4	B	C19	B.Fre	french-b
B.Fre.Nrm.d5.exd5	B	C01	B.Fre	french-b
B.Fre.Mac.Exc	B	C12	B.Fre	french-b
B.Mod.Std.Ctr.e5	B	A41	B.Mod	misc
B.Mod.Std.Ctr.d6	B	A42	B.Mod	misc
B.Mod.Std.Ctr.d6.Be3	B	A42	B.Mod	misc
B.Mod.Std.Ctr.d6.Be3.f3	B	A42	B.Mod	misc
B.Mod.Pte.Nc3	B	A42	B.Mod	misc
B.Mod.Pte.Nc3.d6	B	A42	B.Mod	misc
A.Ret.Ang.MLn.Nf6.Nc3.Bb2	A	D45	A.Ret	misc
A.Col.Bd6.O-O.O-O.b3.Bb2	A	D05	A.Col	london-colle-a
A.Col.Bd6.O-O.O-O.b3.c6	A	D05	A.Col	london-colle-a
A.Col.Bd6.O-O.O-O.b3.Nbd2	A	D05	A.Col	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7.Qc2	A	D37	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Be7.h6	A	D53	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Nbd7.c6	A	D51	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Nbd7.Bb4	A	D51	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.Nbd7.a3	A	D51	A.Hor	london-colle-a
E.Ben.Old.Adv.Nf6.Nc3.Qa5	E	A43	E.Ben	indians-e
E.Ben.Old.Adv.e5.e4.d6	E	A44	E.Ben	indians-e
E.Ben.Czk.MLn.g6	E	A56	E.Ben	indians-e
E.Ben.Mod.Fch.MLn.O-O.Re8	E	A64	E.Ben	indians-e
E.KID.Sml.Cst.Nge2.c5.cxd5	E	A65	E.KID	indians-e
E.Gru.Hng.MLn.Bxc7	E	D84	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.Na6	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.Bg4.Qb3	E	D99	E.Gru	gruenfeld-e
E.Ben.Mod.Cls.O-O	E	A72	E.Ben	indians-e
E.Ind.e6.Nf3.c5.Bg5	E	A71	E.Ind	indians-e
E.Ben.Bnk.Acc.Nc3.axb5.e4	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.Nc3.axb5.a4	E	A57	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6.Nf3	E	A58	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.a6.Nd2	E	A74|A75	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.a6.Bg5	E	A74|A75	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.h3	E	A68|A69	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.e5	E	A68|A69	E.Ben	indians-e
E.Gru.Exc.SeV.Bc4.c5.Nc6	E	D87|D88	E.Gru	gruenfeld-e
B.Fre.Adv.Mil.MLn.O-O.Bd7	B	C02	B.Fre	french-b
B.Fre.Adv.NwG.cxd4	B	C02	B.Fre	french-b
B.Fre.Adv.NwG.cxd4.Nf3	B	C02	B.Fre	french-b
B.Fre.Stn.MLn.Nce2	B	C11	B.Fre	french-b
B.Fre.Stn.MLn.Qg4	B	C11	B.Fre	french-b
B.Fre.Win.Adv.Smy.Qc7	B	C19	B.Fre	french-b
A.Ret.Ang.MLn.Nf6.Nc3.Be2	A	D45	A.Ret	misc
A.Ret.Ang.MLn.Nf6.Nc3.Bd3	A	D46	A.Ret	misc
A.Eng.Agi.Nf3.d5.Nbd2	A	E14	A.Eng	misc
A.QPO.Nf6.Nc3.d5.e4	A	D00	A.QPO	london-colle-a
A.PQI.e3.Bb7.Bb2	A	E14	A.PQI	misc
A.Hor.Fch.Nc3.c6.g4	A	D31	A.Hor	london-colle-a
A.Hor.Fch.MLn.Bg5.c5.Qb6	A	D50	A.Hor	london-colle-a
E.Gru.Neo.Del	E	D75	E.Gru	gruenfeld-e
A.Hor.Fch.MLn.Nf3.Be7.b3	A	E14	A.Hor	london-colle-a
A.QPO.Nf6.Nf3.e6.e3.c5	A	D05	A.QPO	london-colle-a
A.QPO.Nf6.Nf3.e6.e3.Be7	A	E14	A.QPO	london-colle-a
A.Kan.MLn.e3.c5.Bd3.O-O	A	E29	A.Kan	misc
A.Kan.MLn.e3.c5.Bd3.Ne8	A	E29	A.Kan	misc
A.KIA.Car.g6	A	B10	A.KIA	misc
A.KIA.Fre.Nc6	A	C00	A.KIA	misc
